                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6395,                 1.8261,                 2.1568,                0.65542,                0.53919,                 0.5804,                0.30223,                  1.563,                 1.7025,                 2.1611,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.5592,                   1.77,                 2.0955,                0.65657,                0.52232,                0.58425,                 0.3221,                 1.5754,                  1.815,                 2.2127,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.5813,                  1.759,                 2.1086,                0.60503,                 0.5573,                0.58841,                0.33042,                  1.514,                 1.6783,                 2.1447,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.5278,                 1.7089,                 2.0745,                0.65888,                0.55971,                0.60678,                0.33532,                 1.5086,                 1.6452,                 2.1226,               0.000614,               0.000614,               0.000614
                     38,                 1.5574,                 1.7262,                 2.0881,                 0.6563,                0.54644,                0.61272,                0.35481,                 1.5046,                 1.5917,                 2.1129,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.5291,                 1.6913,                 2.0871,                0.64866,                0.57057,                0.63114,                0.35802,                 1.4929,                  1.595,                 2.1002,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.4822,                 1.7248,                 2.0621,                0.63174,                0.53197,                0.57991,                0.33175,                 1.4836,                 1.6436,                 2.1041,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.4897,                 1.8637,                 2.1115,                0.64988,                0.57992,                0.61163,                0.36121,                 1.4967,                 1.6218,                 2.1024,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.4988,                 1.6989,                 2.1066,                0.67688,                0.56936,                0.61779,                0.35937,                 1.4444,                   1.63,                 2.0465,               0.000416,               0.000416,               0.000416
                     43,                 1.4524,                 1.6001,                 2.0715,                0.68777,                0.60314,                0.64192,                0.38314,                 1.4164,                 1.5544,                 2.0068,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.4263,                  1.622,                 2.0734,                0.68347,                0.60796,                0.66786,                0.40559,                 1.4012,                 1.4803,                  2.004,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.3861,                 1.5772,                 2.0078,                0.72127,                0.58866,                0.68107,                0.41007,                  1.405,                 1.4893,                 1.9915,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.4329,                 1.5383,                 2.0123,                0.70965,                0.62967,                0.68967,                0.42997,                 1.3766,                 1.4347,                 1.9839,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.3884,                 1.5204,                 2.0016,                0.74782,                0.62242,                 0.6964,                0.43461,                 1.3457,                 1.4239,                 1.9438,               0.000218,               0.000218,               0.000218
                     48,                  1.384,                 1.5016,                 1.9953,                0.73377,                0.61279,                0.68715,                0.42018,                  1.362,                 1.4284,                 1.9482,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.3685,                  1.503,                 1.9909,                 0.7668,                0.58384,                0.69591,                0.44154,                 1.3336,                 1.4029,                 1.9125,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.3467,                 1.5165,                 1.9905,                0.76315,                0.61882,                0.69692,                0.44306,                 1.3122,                 1.3835,                 1.9041,               9.92e-05,               9.92e-05,               9.92e-05
